,Smiles,MTB Standardized Residuals,Scaffold
132,FC1=C(CN=[N+]=[N-])C(F)=CC=C1,0.7392792030215557,c1ccccc1
133,OC(CN=[N+]=[N-])COC1=CC=C(OC)C=C1,-2.211526100666807,c1ccccc1
134,CC1=C(C)C=C(CCN=[N+]=[N-])C=C1,0.3541990573566516,c1ccccc1
135,FC1=CC=C(F)C=C1CN=[N+]=[N-],0.5160406253727304,c1ccccc1
136,CC1=C(CN=[N+]=[N-])C=CC=C1C,0.8976169850753803,c1ccccc1
137,CC1=CC=CC(CCN=[N+]=[N-])=C1,0.7106803886368295,c1ccccc1
138,CC1=C(C)C=CC(CN=[N+]=[N-])=C1,0.6147131214915831,c1ccccc1
139,CC(C1=NC(CCN=[N+]=[N-])=NO1)C,-0.8069608819200379,c1ncon1
140,OC1=CC=CC=C1CCN=[N+]=[N-],-2.670578563123226,c1ccccc1
141,ClC1=CC(CCN=[N+]=[N-])=CC(Cl)=C1,0.8048073223943777,c1ccccc1
142,FC1=CC(F)=C(Cl)C=C1CN=[N+]=[N-],0.6384933493347901,c1ccccc1
143,CC(N=[N+]=[N-])C1=NC=CC=C1,-0.2418285758012321,c1ccncc1
144,COC1=C(OC)C=C(CN=[N+]=[N-])C=C1OC,-2.598173696183815,c1ccccc1
145,[N-]=[N+]=NCC1=CNN=C1,-1.296373237901636,c1cn[nH]c1
146,OC(C[C@H](N=[N+]=[N-])CC1=CC=CC=C1)=O,0.230685999702927,c1ccccc1
147,OC1=CC(N=[N+]=[N-])=CC(C(O)=O)=C1,-0.3681520020089786,c1ccccc1
148,OCC[C@@H](N=[N+]=[N-])C1=CC=CC=C1,-1.288255678111611,c1ccccc1
149,OC1=C(OC)C=CC(CCN=[N+]=[N-])=C1,-2.882113460776371,c1ccccc1
150,COC1=CC(CN=[N+]=[N-])=CC(OC)=C1,-1.114198050942841,c1ccccc1
151,CC(C)(COCC1)C1N=[N+]=[N-],0.9154373454732864,C1CCOCC1
152,NC(C1=CC(OC)=CC=C1N=[N+]=[N-])=O,0.001416009823592,c1ccccc1
153,OCC(N=[N+]=[N-])C1=CC=CC=C1C,-0.665468850280146,c1ccccc1
154,O[C@H]1CC2=C(C=CC=C2)[C@@H]1N=[N+]=[N-],-1.607663060092029,c1ccc2c(c1)CCC2
155,[N-]=[N+]=NCCC1=CSC=C1,0.836738681749127,c1ccsc1
156,[N-]=[N+]=NCC1=CC=C([N+]([O-])=O)C=C1,-0.6173226542442902,c1ccccc1
157,ClC1=CC(F)=CC=C1CN=[N+]=[N-],0.8524269435581554,c1ccccc1
158,CS(C1=CC=C(CN=[N+]=[N-])C=C1)(=O)=O,-2.164062436394736,c1ccccc1
159,ClC1=C(CN=[N+]=[N-])C(Cl)=CC=C1,0.6691516842266042,c1ccccc1
160,COC1=C(O)C=CC(CCN=[N+]=[N-])=C1,-2.794881958815048,c1ccccc1
161,FC1=CC=C(CN=[N+]=[N-])C(C(F)(F)F)=C1,1.335570501199078,c1ccccc1
162,[N-]=[N+]=NCC1=CC([N+]([O-])=O)=CC=C1,-1.240808110665689,c1ccccc1
163,FC(F)(F)C1=CC=C(CN=[N+]=[N-])C=C1,0.9316306916078604,c1ccccc1
164,CC1=CC=C(C(C)N=[N+]=[N-])C=C1,0.8870507557260802,c1ccccc1
165,CC(N=[N+]=[N-])C1=CC=C(F)C=C1,0.7158425867478019,c1ccccc1
166,O=C(NCCN=[N+]=[N-])OCC1=CC=CC=C1,-2.291291560599793,c1ccccc1
167,OC[C@@H](N=[N+]=[N-])CC1=CC=CC=C1,-1.514678524558206,c1ccccc1
168,N#CC1=CC=C(CN=[N+]=[N-])C=C1,-1.37105548169578,c1ccccc1
169,COC1=CC=CC=C1CN=[N+]=[N-],0.3482813967997851,c1ccccc1
170,COC(C1=CC(CN=[N+]=[N-])=NC=C1)=O,-1.588203474921293,c1ccncc1
171,[N-]=[N+]=NCCC1=CC=C([N+]([O-])=O)C=C1,-1.781052514295145,c1ccccc1
172,[N-]=[N+]=NC1(CC1)C2=CC=CC=C2,1.161315650392083,c1ccc(C2CC2)cc1
173,O=C(OC)C[C@H](N=[N+]=[N-])C1=CC=CC=C1,0.7472079135717765,c1ccccc1
